WIN,LOSS
Baylor: Hudson & Laibe,Kansas: Basore & Spiers
Baylor: Hudson & Laibe,Kansas: Harris & Hines
Baylor: Hudson & Laibe,Kansas: Hines & Park
Baylor: Hudson & Laibe,Kansas: Revare & Snow
Baylor: Hudson & Laibe,Kentucky: McBlain & Williams
Baylor: Hudson & Laibe,Liberty: Dulas & Posey
Baylor: Hudson & Laibe,Liberty: Hamilton & Smith
Baylor: Hudson & Laibe,Michigan State: Glancy & Meloche
Baylor: Hudson & Laibe,Michigan: Flashner & Mikelson
Baylor: Hudson & Laibe,Minnesota: Anderson McElligott & Kivimaki
Baylor: Hudson & Laibe,Minnesota: Johnson & Sun
Baylor: Hudson & Laibe,Missouri State: Albright & Burns
Baylor: Hudson & Laibe,Navy: Korlacki & Rock
Baylor: Hudson & Laibe,Northwestern: Deo & Wegener
Baylor: Hudson & Laibe,Northwestern: Kim & Liao
Baylor: Hudson & Laibe,Northwestern: Landgraff & Wegener
Baylor: Hudson & Laibe,NYU: Aurora & Li
Baylor: Hudson & Laibe,NYU: Fernando & Teng
Baylor: Hudson & Laibe,Samford: Gill & Tarnowski
Baylor: Hudson & Laibe,Southern California: Bhadani & Channa
Baylor: Hudson & Laibe,Texas: Anderson & Bhasin
Baylor: Hudson & Laibe,Trinity: Patterson & Walker
Baylor: Hudson & Laibe,UT Dallas: Beutelspacher & Mubarak
Baylor: Hudson & Laibe,UT Dallas: Beutelspacher & Mubarak
Baylor: Hudson & Laibe,Wash Univ SL: Alexis & Datel
Baylor: Hudson & Laibe,Wyoming: Campbell & Campbell
Baylor: Hudson & Sturgeon,Kansas: Hines & Zin
Baylor: Hudson & Sturgeon,UT Dallas: Lasseter & Watson
Baylor: Hudson & Wyatt,Kansas: McCarthy & Spiers
Baylor: Hudson & Wyatt,Samford: Emerson & Gates
Baylor: Laibe & McClinton,CSU Fullerton: Perez Rivas & Rivera
Baylor: Laibe & McClinton,Georgetown: Amiel & Kumar
Baylor: Laibe & McClinton,Harvard: Ogbogu & Yeboah
Baylor: Laibe & McClinton,Minnesota: Davis & Huntimer
Baylor: Laibe & McClinton,Missouri State: Kauffman & Reeves
Baylor: Laibe & McClinton,NYU: Hussain & Pierce
Baylor: Laibe & McClinton,Rutgers-Newark: St.Clair & Toro
Baylor: Laibe & McClinton,Texas: Healey & Noriega
Baylor: Laibe & McClinton,Texas: Healey & Noriega
Baylor: Laibe & McClinton,Trinity: Nelson & Rocheleau
Baylor: Laibe & McClinton,Western Washington: Allen & Barclay
Baylor: Laibe & Smith,Central Oklahoma: Funk & Wendland
Baylor: Laibe & Smith,Cornell: Abrams & Li
Baylor: Laibe & Smith,Missouri State: Allgood & Smith
Baylor: Laibe & Smith,Purdue: Joseph & Sidhu
Baylor: Laibe & Smith,UT Dallas: Lasseter & Mubarak
Baylor: LoCicero & Pertuit,Indiana: Fernando & Vidali
Baylor: LoCicero & Pertuit,Michigan: Dudewicz & Walter
Baylor: LoCicero & Sturgeon,Houston: Kidd & Nguyen
Baylor: LoCicero & Sturgeon,Northwestern: Hines & Zimmerman
Baylor: McClinton & Nguyen,Boston College: Carter & Cheek
Baylor: McClinton & Nguyen,Emory: Navarrete & Palmer
Baylor: McClinton & Nguyen,Emporia State: Krambeer & Reed-Valizan
Baylor: McClinton & Nguyen,Gonzaga: Moreno & Morioka
Baylor: McClinton & Nguyen,Harvard: Gilmer-Hill & Mukherjee
Baylor: McClinton & Nguyen,Harvard: Ogbogu & Yeboah
Baylor: McClinton & Nguyen,Houston: Abad & Khan
Baylor: McClinton & Nguyen,Houston: Hoxha & Khan
Baylor: McClinton & Nguyen,Houston: Hoxha & Khan
Baylor: McClinton & Nguyen,Houston: Kidd & Nguyen
Baylor: McClinton & Nguyen,Indiana: Hoham & Jasani
Baylor: McClinton & Nguyen,Michigan: Kirsch & Patterson
Baylor: McClinton & Nguyen,Oklahoma: Sullivan & Teague
Baylor: McClinton & Nguyen,Texas: Healey & Noriega
Baylor: McClinton & Nguyen,Tufts: Raman & Stinson
Baylor: McClinton & Nguyen,Wake Forest: Bittner & Tanguturi
Baylor: McClinton & Sturgeon,Kansas State: Robertson & Sum
Baylor: McClinton & Sturgeon,Oklahoma: Sullivan & Teague
Baylor: McClinton & Thrasher-Evers,George Mason: Joari & Turpen
Baylor: McClinton & Thrasher-Evers,Houston: Fox & Koort
Baylor: McClinton & Thrasher-Evers,Liberty: Solsman & Wagner
Baylor: McClinton & Thrasher-Evers,Rutgers-Newark: Beckford & Khan
Baylor: McClinton & Thrasher-Evers,Rutgers-Newark: Ogundare & St.Clair
Baylor: McClinton & Thrasher-Evers,Rutgers-Newark: Ogundare & St.Clair
Baylor: McClinton & Thrasher-Evers,Wake Forest: Kruger & Taylor
Baylor: McClinton & Thrasher-Evers,Wake Forest: Kruger & Taylor
Baylor: Nguyen & Wyatt,Central Oklahoma: Funk & Wendland
Baylor: Nguyen & Wyatt,CSU Fullerton: Hernandez & Rosas
Baylor: Nguyen & Wyatt,George Mason: Armstrong & Sams
Baylor: Nguyen & Wyatt,Indiana: Holland & Oluwayomi
Baylor: Nguyen & Wyatt,Kansas State: Theoni & Turner
Baylor: Nguyen & Wyatt,Kansas: McMahon & Scott
Baylor: Nguyen & Wyatt,Kansas: Peter & Semrick
Baylor: Nguyen & Wyatt,Minnesota: Amundsen & Sun
Baylor: Nguyen & Wyatt,Minnesota: Davis & Huntimer
Baylor: Nguyen & Wyatt,Minnesota: Ferguson & Jamal
Baylor: Nguyen & Wyatt,Missouri State: Kauffman & Reeves
Baylor: Nguyen & Wyatt,Missouri State: Wilkinson & Woodall
Baylor: Nguyen & Wyatt,NYU: Hussain & Pierce
Baylor: Nguyen & Wyatt,Rutgers-Newark: Beckford & Khan
Baylor: Nguyen & Wyatt,Texas: Chayet & Loyd
Baylor: Nguyen & Wyatt,UT Dallas: Lasseter & Mubarak
Baylor: Nguyen & Wyatt,Wyoming: Mitchell & Radcliffe
Baylor: Nguyen & Wyatt,Wyoming: Mitchell & Radcliffe
Baylor: Nguyen & Wyatt,Wyoming: Porterfield & Powers
Baylor: Thrasher-Evers & Wyatt,Dartmouth: Cai & Sullivan
Baylor: Thrasher-Evers & Wyatt,Kentucky: Adam & Kiihnl
Baylor: Thrasher-Evers & Wyatt,Michigan State: Glancy & Koster
Baylor: Thrasher-Evers & Wyatt,Michigan: Phil & Skoulikaris
Binghamton: Ahuja & Marin,Army: Drake & Haynes
Binghamton: Ahuja & Marin,Baylor: Nguyen & Wyatt
Binghamton: Ahuja & Marin,Baylor: Nguyen & Wyatt
Binghamton: Ahuja & Marin,Cornell: Abrams & Li
Binghamton: Ahuja & Marin,Cornell: Abrams & Li
Binghamton: Ahuja & Marin,George Mason: Buckner & Graham
Binghamton: Ahuja & Marin,Georgetown: Anderson & Greer
Binghamton: Ahuja & Marin,Georgia: Mruz & Wakefield
Binghamton: Ahuja & Marin,Harvard: Ogbogu & Yeboah
Binghamton: Ahuja & Marin,Iowa: Cavanaugh & Pieropan
Binghamton: Ahuja & Marin,Kansas State: Spond & Walker
Binghamton: Ahuja & Marin,Kansas: Park & Semrick
Binghamton: Ahuja & Marin,Liberty: Cazeau & Ramsey
Binghamton: Ahuja & Marin,Liberty: Cazeau & Ramsey
Binghamton: Ahuja & Marin,Minnesota: Ferguson & Rao
Binghamton: Ahuja & Marin,Minnesota: Sun & Wendland
Binghamton: Ahuja & Marin,Missouri State: Lucas & Parrish
Binghamton: Ahuja & Marin,Monmouth: Dailey & Santos
Binghamton: Ahuja & Marin,Navy: Lewis & Rock
Binghamton: Ahuja & Marin,NYU: Hussain & Pierce
Binghamton: Ahuja & Marin,NYU: Hussain & Pierce
Binghamton: Ahuja & Marin,NYU: Hussain & Pierce
Binghamton: Ahuja & Marin,NYU: Rosen & Ziabkin
Binghamton: Ahuja & Marin,NYU: Sherman & Toth
Binghamton: Ahuja & Marin,Southern California: Jonathan Hayden
Binghamton: Ahuja & Marin,UT Dallas: Lasseter & Mubarak
Binghamton: Ahuja & Marin,UT Dallas: Lasseter & Mubarak
Binghamton: Ahuja & Marin,Wake Forest: Bathily & Trotman
Binghamton: Ahuja & Marin,Wake Forest: Cook & Roark
Binghamton: Ahuja & Marin,Wayne State: Bagdon & Reynolds
Binghamton: Ahuja & Marin,Wayne State: Irshad Reza Husain
Binghamton: Ahuja & Marin,Wyoming: Kramer & Powers
Binghamton: Ahuja & Marin,Wyoming: Porterfield & Powers
Binghamton: Ahuja & Suben,Kansas: Lee & Woodcock
Binghamton: Ahuja & Suben,Michigan State: Meloche & Miklovis
Binghamton: Ahuja & Suben,Michigan: Phil & Skoulikaris
Binghamton: Ahuja & Zaidi,Army: Duerig & Shatilensko
Binghamton: Ahuja & Zaidi,Baylor: Hudson & Laibe
Binghamton: Ahuja & Zaidi,Kentucky: McBlain & Williams
Binghamton: Ahuja & Zaidi,Liberty: Solsman & Wagner
Binghamton: Ahuja & Zaidi,Minnesota: Anderson McElligott & Kivimaki
Binghamton: Ahuja & Zaidi,Oklahoma: Sullivan & Teague
Binghamton: Ahuja & Zaidi,Wake Forest: Bathily & Trotman
Binghamton: Brigante & Reppa,Rochester: Emrich & Wang
Binghamton: Brigante & Reppa,West Virginia: Ferrell & Fetter
Binghamton: Carmona & Suben,Central Oklahoma: Reynolds & Wendland
Binghamton: Caron & Cassetta-Unrath,Binghamton: Langsdorf & Wyble
Binghamton: Carpenter & Lastowski,Army: Ntumy & Walker
Binghamton: Carpenter & Lastowski,Binghamton: Caron & Cassetta-Unrath
Binghamton: Carpenter & Lastowski,Binghamton: Engler & Mah
Binghamton: Carpenter & Lastowski,Binghamton: Hirsh & Stiller
Binghamton: Carpenter & Lastowski,West Virginia: Carr & Phillips
Binghamton: Choudhury & Picallo,Baylor: Chatur & Sturgeon
Binghamton: Choudhury & Picallo,Baylor: Hudson & Laibe
Binghamton: Choudhury & Picallo,Kansas: Barreto & Snow
Binghamton: Choudhury & Picallo,Kansas: Harris & Hines
Binghamton: Choudhury & Picallo,New School: Butler & Lima Boudakian
Binghamton: Choudhury & T. Louis,Binghamton: Marin & Picallo
Binghamton: Choudhury & T. Louis,Boston College: Cheek & Hua
Binghamton: Choudhury & T. Louis,CSU Fullerton: Ayyala & Martinez
Binghamton: Choudhury & T. Louis,Dartmouth: Bald & Cai
Binghamton: Choudhury & T. Louis,Dartmouth: Kim & Piraino
Binghamton: Choudhury & T. Louis,Emory: Pierce & Wallen
